SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-26-2021,Single Family Residential,1146 S Stelling Rd,CUPERTINO,CA,95014,2330000,3,2.0,CUPERTINO,1644,6210,1961,227,1417,,Sold,,,https://www.redfin.com/CA/Cupertino/1146-S-Stelling-Rd-95014/home/786458,MLSListings,ML81833473,N,Y,37.3041912,-122.0411052
PAST SALE,,Single Family Residential,1143 Hollyhead Ln,Cupertino,CA,95014,2810000,5,3.0,,1877,5566,1961,,1497,,,,,https://www.redfin.com/CA/Cupertino/1143-Hollyhead-Ln-95014/home/1595264,,,N,Y,37.304462,-122.0407056
PAST SALE,July-22-2021,Single Family Residential,1071 W Hill Ct,CUPERTINO,CA,95014,2300000,4,3.0,CUPERTINO,2054,6439,1965,140,1120,,Sold,,,https://www.redfin.com/CA/Cupertino/1071-W-Hill-Ct-95014/home/787605,MLSListings,ML81849354,N,Y,37.3068901,-122.04075
PAST SALE,February-26-2020,Single Family Residential,7453 Kingsbury Pl,CUPERTINO,CA,95014,2050000,4,3.0,CUPERTINO,1793,7961,1963,652,1143,,Sold,,,https://www.redfin.com/CA/Cupertino/7453-Kingsbury-Pl-95014/home/786545,MLSListings,ML81780202,N,Y,37.3033838,-122.035688
PAST SALE,April-21-2017,Single Family Residential,1174 Scotland Dr,CUPERTINO,CA,95014,1649999,3,2.0,CUPERTINO,1598,6272,1963,1693,1033,,Sold,,,https://www.redfin.com/CA/Cupertino/1174-Scotland-Dr-95014/home/1141183,MLSListings,ML81636896,N,Y,37.3033504,-122.0361099
PAST SALE,October-17-2017,Single Family Residential,7572 Hollanderry Pl,CUPERTINO,CA,95014,1800000,3,2.0,CUPERTINO,1190,5992,1961,1514,1513,,Sold,,,https://www.redfin.com/CA/Cupertino/7572-Hollanderry-Pl-95014/home/786586,MLSListings,ML81678594,N,Y,37.3039258,-122.0386853
PAST SALE,May-19-2017,Single Family Residential,7509 Kingsbury Ct,CUPERTINO,CA,95014,1700000,3,3.0,CUPERTINO,1905,6887,1963,1665,892,,Sold,,,https://www.redfin.com/CA/Cupertino/7509-Kingsbury-Ct-95014/home/634584,MLSListings,ML81644268,N,Y,37.3034408,-122.0372422
PAST SALE,October-14-2020,Single Family Residential,7544 Kingsbury Pl,CUPERTINO,CA,95014,2815000,4,3.0,CUPERTINO,2441,8705,1976,421,1153,,Sold,,,https://www.redfin.com/CA/Cupertino/7544-Kingsbury-Pl-95014/home/1084263,MLSListings,ML81808621,N,Y,37.3028845,-122.0381524
PAST SALE,November-30-2018,Single Family Residential,7507 Moltzen Dr,CUPERTINO,CA,95014,2300000,4,2.0,CUPERTINO,1876,6649,1976,1105,1226,,Sold,,,https://www.redfin.com/CA/Cupertino/7507-Moltzen-Dr-95014/home/1830381,MLSListings,ML81728753,N,Y,37.3025824,-122.0375974
PAST SALE,October-10-2019,Townhouse,11440 Garden Terrace Dr,CUPERTINO,CA,95014,1435000,3,2.5,CUPERTINO,1591,1870,1981,791,902,400,Sold,,,https://www.redfin.com/CA/Cupertino/11440-Garden-Terrace-Dr-95014/home/1487334,MLSListings,ML81763546,N,Y,37.3020314,-122.035688
PAST SALE,June-22-2017,Townhouse,7367 Rainbow Dr,CUPERTINO,CA,95014,1498000,3,2.5,CUPERTINO,1523,1769,1995,1631,984,150,Sold,,,https://www.redfin.com/CA/Cupertino/7367-Rainbow-Dr-95014/home/1049023,MLSListings,ML81651647,N,Y,37.3010061,-122.033701
PAST SALE,August-25-2017,Townhouse,7371 Rainbow Dr,CUPERTINO,CA,95014,1536000,3,2.5,CUPERTINO,1523,1641,1995,1567,1009,150,Sold,,,https://www.redfin.com/CA/Cupertino/7371-Rainbow-Dr-95014/home/787789,MLSListings,ML81670508,N,Y,37.301017,-122.033914
PAST SALE,November-21-2017,Townhouse,20679 Gardenside Cir,CUPERTINO,CA,95014,1665000,3,2.0,CUPERTINO,1640,1440,1990,1479,1015,305,Sold,,,https://www.redfin.com/CA/Cupertino/20679-Gardenside-Cir-95014/home/1755042,MLSListings,ML81681959,N,Y,37.3017655,-122.0351996
PAST SALE,July-6-2018,Townhouse,20652 Gardenside Cir,CUPERTINO,CA,95014,1680000,3,2.5,CUPERTINO,1704,1480,1990,1252,986,305,Sold,,,https://www.redfin.com/CA/Cupertino/20652-Gardenside-Cir-95014/home/1088142,MLSListings,ML81697336,N,Y,37.3015718,-122.0342227
PAST SALE,April-9-2021,Single Family Residential,1026 W Homestead Rd,Sunnyvale,CA,94087,2110000,4,2.0,Cupertino Zone,1685,7956,1957,244,1252,,Sold,,,https://www.redfin.com/CA/Sunnyvale/1026-W-Homestead-Rd-94087/home/772513,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40938243,N,Y,37.3372459,-122.0563782
PAST SALE,June-23-2021,Townhouse,21682 Olive Ave,CUPERTINO,CA,95014,1610000,2,2.5,CUPERTINO,1352,1391,1985,169,1191,440,Sold,,,https://www.redfin.com/CA/Cupertino/21682-Olive-Ave-95014/home/1688146,MLSListings,ML81843499,N,Y,37.3190497,-122.0540908
