SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-29-2021,Single Family Residential,2480 Pfeffer Ln,SAN JOSE,CA,95128,1200000,3,1.0,SAN JOSE,1227,9384,1949,10,978,,Sold,,,https://www.redfin.com/CA/San-Jose/2480-Pfeffer-Ln-95128/home/1357080,MLSListings,ML81867503,N,Y,37.3167978,-121.9376005
PAST SALE,February-17-2017,Single Family Residential,518 N Clover Ave,SAN JOSE,CA,95128,815000,3,1.0,SAN JOSE,1134,5200,1950,1756,719,,Sold,,,https://www.redfin.com/CA/San-Jose/518-N-Clover-Ave-95128/home/719633,MLSListings,ML81636178,N,Y,37.3273505,-121.9440002
PAST SALE,May-14-2018,Single Family Residential,622 N Clover Ave,SAN JOSE,CA,95128,1370000,3,2.0,SAN JOSE,1200,5109,1950,1305,1142,,Sold,,,https://www.redfin.com/CA/San-Jose/622-N-Clover-Ave-95128/home/719640,MLSListings,ML81699545,N,Y,37.3281639,-121.9440447
PAST SALE,,Condo/Co-op,629 La Maison Dr,San Jose,CA,95128,770000,2,2.0,,1104,,1986,,697,,,,,https://www.redfin.com/CA/San-Jose/629-La-Maison-Dr-95128/home/1642786,,,N,Y,37.315455,-121.946342
PAST SALE,May-24-2019,Single Family Residential,1242 Spruance St,SAN JOSE,CA,95128,1380000,4,3.0,SAN JOSE,2168,5666,1978,930,637,,Sold,,,https://www.redfin.com/CA/San-Jose/1242-Spruance-St-95128/home/1198874,MLSListings,ML81748470,N,Y,37.3029966,-121.9366228
PAST SALE,October-20-2021,Single Family Residential,2018 Redbush Ter,SAN JOSE,CA,95128,1350000,3,2.0,SAN JOSE,1014,5979,1948,50,1331,,Sold,,,https://www.redfin.com/CA/San-Jose/2018-Redbush-Ter-95128/home/1117433,MLSListings,ML81864759,N,Y,37.336513,-121.937645
PAST SALE,August-14-2017,Single Family Residential,2085 Laurelei Ave,SAN JOSE,CA,95128,865000,3,1.0,SAN JOSE,1040,6300,1950,1578,832,,Sold,,,https://www.redfin.com/CA/San-Jose/2085-Laurelei-Ave-95128/home/1176292,MLSListings,ML81671198,N,Y,37.3327238,-121.9380005
PAST SALE,March-16-2017,Single Family Residential,1680 Hanchett Ave,SAN JOSE,CA,95128,1238975,3,2.0,SAN JOSE,1620,7952,1941,1729,765,,Sold,,,https://www.redfin.com/CA/San-Jose/1680-Hanchett-Ave-95128/home/1436739,MLSListings,ML81638233,N,Y,37.3250896,-121.9215108
PAST SALE,November-4-2021,Single Family Residential,1125 S Baywood Ave,SAN JOSE,CA,95128,1450000,3,2.0,SAN JOSE,1240,5904,1958,35,1169,,Sold,,,https://www.redfin.com/CA/San-Jose/1125-S-Baywood-Ave-95128/home/721435,MLSListings,ML81864317,N,Y,37.3058833,-121.9457779
PAST SALE,July-31-2019,Single Family Residential,2475 Cory Ave,SAN JOSE,CA,95128,1100000,3,1.0,SAN JOSE,1134,7378,1950,862,970,,Sold,,,https://www.redfin.com/CA/San-Jose/2475-Cory-Ave-95128/home/1528614,MLSListings,ML81756186,N,Y,37.3317202,-121.9493997
