SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-12-2018,Single Family Residential,13940 Ravenwood Dr,SARATOGA,CA,95070,2125000,3,2.0,SARATOGA,1446,8137,1955,1276,1470,,Sold,,,https://www.redfin.com/CA/Saratoga/13940-Ravenwood-Dr-95070/home/1500886,MLSListings,ML81706408,N,Y,37.2656757,-121.9923414
PAST SALE,October-8-2021,Single Family Residential,1851 Kirkmont Dr,SAN JOSE,CA,95124,2367000,4,3.0,SAN JOSE,2428,7713,1968,62,975,,Sold,,,https://www.redfin.com/CA/San-Jose/1851-Kirkmont-Dr-95124/home/1428126,MLSListings,ML81861516,N,Y,37.283465,-121.9205996
PAST SALE,May-29-2018,Townhouse,490 W Sunnyoaks Ave Unit A,CAMPBELL,CA,95008,1105000,3,2.5,CAMPBELL,1759,1946,1990,1290,628,440,Sold,,,https://www.redfin.com/CA/Campbell/490-W-Sunnyoaks-Ave-95008/unit-A/home/598975,MLSListings,ML81701635,N,Y,37.2717343,-121.9586426
PAST SALE,,Condo/Co-op,169 Redding Rd,Campbell,CA,95008,880000,2,2.0,,1152,,1986,,764,,,,,https://www.redfin.com/CA/Campbell/169-Redding-Rd-95008/home/1595743,,,N,Y,37.266325,-121.945634
PAST SALE,October-22-2018,Single Family Residential,2375 Starbright Dr,SAN JOSE,CA,95124,1253000,4,2.0,SAN JOSE,1562,6237,1959,1144,802,,Sold,,,https://www.redfin.com/CA/San-Jose/2375-Starbright-Dr-95124/home/835742,MLSListings,ML81724424,N,Y,37.2596292,-121.9448668
PAST SALE,,Single Family Residential,1323 Gay Ave,Campbell,CA,95008,1560000,3,2.0,,1198,6331,1961,,1302,,,,,https://www.redfin.com/CA/Campbell/1323-Gay-Ave-95008/home/714461,,,N,Y,37.26746,-121.9674181
PAST SALE,July-29-2019,Townhouse,2167 Vizcaya Cir,CAMPBELL,CA,95008,1400000,4,3.0,CAMPBELL,2421,3828,1994,864,578,360,Sold,,,https://www.redfin.com/CA/Campbell/2167-Vizcaya-Cir-95008/home/1333661,MLSListings,ML81756373,N,Y,37.27401,-121.9366862
PAST SALE,April-2-2018,Single Family Residential,3701 Woodard Ct,SAN JOSE,CA,95124,1600000,5,3.5,SAN JOSE,2566,4836,2005,1347,624,90,Sold,,,https://www.redfin.com/CA/San-Jose/3701-Woodard-Ct-95124/home/1708536,MLSListings,ML81694126,N,Y,37.260019,-121.9447738
PAST SALE,March-16-2021,Single Family Residential,104 Hickory Ct,CAMPBELL,CA,95008,3249950,5,4.5,CAMPBELL,3629,10162,2020,268,896,264,Sold,,,https://www.redfin.com/CA/Campbell/104-Hickory-Ct-95008/home/172946602,MLSListings,ML81816821,N,Y,37.2693266,-121.9788364
PAST SALE,September-8-2021,Single Family Residential,266 Llewellyn Ave,CAMPBELL,CA,95008,1550000,4,2.0,CAMPBELL,1507,6650,1964,92,1029,,Sold,,,https://www.redfin.com/CA/Campbell/266-Llewellyn-Ave-95008/home/752558,MLSListings,ML81854978,N,Y,37.2909665,-121.9581982
PAST SALE,,Townhouse,201 Sunkist Way,Campbell,CA,95008,1258500,3,3.0,,1607,972,2018,,783,,,,,https://www.redfin.com/CA/Campbell/201-Sunkist-Way-95008/home/161047878,,,N,Y,37.283603,-121.9431114
PAST SALE,January-9-2019,Townhouse,828 Rue Montagne,CAMPBELL,CA,95008,765000,2,1.5,CAMPBELL,1295,1207,1943,1065,591,275,Sold,,,https://www.redfin.com/CA/Campbell/828-Rue-Montagne-95008/home/802356,MLSListings,ML81732615,N,Y,37.2798359,-121.9346727
PAST SALE,July-19-2019,Townhouse,820 Rue Montagne,CAMPBELL,CA,95008,870000,2,2.5,CAMPBELL,1295,1476,1978,874,672,275,Sold,,,https://www.redfin.com/CA/Campbell/820-Rue-Montagne-95008/home/826256,MLSListings,ML81755429,N,Y,37.2799636,-121.9349324
PAST SALE,,Single Family Residential,2220 Wren Way,Campbell,CA,95008,1050000,3,2.0,,1244,6300,1962,,844,,,,,https://www.redfin.com/CA/Campbell/2220-Wren-Way-95008/home/818085,,,N,Y,37.2814424,-121.9649299
PAST SALE,June-17-2021,Single Family Residential,570 Union Ave,CAMPBELL,CA,95008,1900000,3,2.0,CAMPBELL,1507,17358,1957,175,1261,,Sold,,,https://www.redfin.com/CA/Campbell/570-Union-Ave-95008/home/826234,MLSListings,ML81845220,N,Y,37.2788733,-121.9352006
PAST SALE,October-30-2020,Single Family Residential,915 Dry Creek Rd,CAMPBELL,CA,95008,2700000,4,3.0,CAMPBELL,2565,17551,1970,405,1053,,Sold,,,https://www.redfin.com/CA/Campbell/915-Dry-Creek-Rd-95008/home/825616,MLSListings,ML81812352,N,Y,37.2791014,-121.9347228
PAST SALE,June-5-2020,Single Family Residential,2260 Maximilian Dr,CAMPBELL,CA,95008,1725000,7,3.0,CAMPBELL,2729,6004,1962,552,632,,Sold,,,https://www.redfin.com/CA/Campbell/2260-Maximilian-Dr-95008/home/817864,MLSListings,ML81790061,N,Y,37.2802474,-121.9658408
PAST SALE,December-11-2020,Single Family Residential,132 Della Ct,CAMPBELL,CA,95008,1380000,3,3.5,CAMPBELL,1581,2777,1998,363,873,30,Sold,,,https://www.redfin.com/CA/Campbell/132-Della-Ct-95008/home/816502,MLSListings,ML81818179,N,Y,37.2837228,-121.9795917
PAST SALE,January-11-2019,Single Family Residential,480 Pine Bridge Pl,CAMPBELL,CA,95008,1652805,5,3.5,CAMPBELL,2700,8166,2001,1063,612,,Sold,,,https://www.redfin.com/CA/Campbell/480-Pine-Bridge-Pl-95008/home/1093347,MLSListings,ML81724011,N,Y,37.279778088,-121.934967
PAST SALE,November-22-2021,Townhouse,1464 Golden Meadow Sq,SAN JOSE,CA,95117,865000,2,1.0,SAN JOSE,968,1437,1972,17,894,300,Sold,,,https://www.redfin.com/CA/San-Jose/1464-Golden-Meadow-Sq-95117/home/1382649,MLSListings,ML81866812,N,Y,37.29808,-121.960561
PAST SALE,March-4-2021,Single Family Residential,2330 Maximilian Dr,CAMPBELL,CA,95008,1500000,3,2.0,CAMPBELL,1540,6363,1962,280,974,,Sold,,,https://www.redfin.com/CA/Campbell/2330-Maximilian-Dr-95008/home/650872,MLSListings,ML81827344,N,Y,37.278897,-121.9670183
PAST SALE,July-29-2020,Townhouse,133 Union Ave Unit E,CAMPBELL,CA,95008,780000,2,2.0,CAMPBELL,1346,688,1983,498,579,429,Sold,,,https://www.redfin.com/CA/Campbell/133-Union-Ave-95008/unit-E/home/827579,MLSListings,ML81795804,N,Y,37.285112,-121.936596
PAST SALE,September-8-2017,Townhouse,14587 S Bascom Ave,LOS GATOS,CA,95032,815000,2,2.5,LOS GATOS,1334,529,1980,1553,611,412,Sold,,,https://www.redfin.com/CA/Los-Gatos/14587-S-Bascom-Ave-95032/home/1596087,MLSListings,ML81669602,N,Y,37.256526,-121.950054
PAST SALE,September-20-2018,Townhouse,16152 Loretta Ln,LOS GATOS,CA,95032,950000,2,2.5,LOS GATOS,1334,574,1980,1176,712,412,Sold,,,https://www.redfin.com/CA/Los-Gatos/16152-Loretta-Ln-95032/home/838351,MLSListings,ML81719858,N,Y,37.256804,-121.950596
PAST SALE,April-6-2020,Townhouse,720 Duncanville Ct,CAMPBELL,CA,95008,980000,3,2.5,CAMPBELL,1727,962,1978,612,567,455,Sold,,,https://www.redfin.com/CA/Campbell/720-Duncanville-Ct-95008/home/802366,MLSListings,ML81784042,N,Y,37.285341,-121.936591
PAST SALE,February-5-2018,Single Family Residential,3729 Century Dr,CAMPBELL,CA,95008,1350000,3,2.0,CAMPBELL,1055,6271,1962,1403,1280,,Sold,,,https://www.redfin.com/CA/Campbell/3729-Century-Dr-95008/home/773035,MLSListings,ML81687829,N,Y,37.2788126,-121.966174
PAST SALE,November-20-2018,Single Family Residential,2467 Le Bain Dr,SAN JOSE,CA,95130,1602500,4,2.0,SAN JOSE,1535,5865,1959,1115,1044,,Sold,,,https://www.redfin.com/CA/San-Jose/2467-Le-Bain-Dr-95130/home/1838906,MLSListings,ML81728308,N,Y,37.2776058,-121.9823683
PAST SALE,August-27-2021,Single Family Residential,14004 Quito Rd,SARATOGA,CA,95070,2325000,4,2.5,SARATOGA,2569,19919,1900,104,905,,Sold,,,https://www.redfin.com/CA/Saratoga/14004-Quito-Rd-95070/home/813824,MLSListings,ML81839443,N,Y,37.2649673,-121.9926967
PAST SALE,April-23-2018,Townhouse,16127 Loretta Ln,LOS GATOS,CA,95032,1126000,3,2.5,LOS GATOS,1318,540,1980,1326,854,412,Sold,,,https://www.redfin.com/CA/Los-Gatos/16127-Loretta-Ln-95032/home/1194186,MLSListings,ML81696672,N,Y,37.257491,-121.950169
PAST SALE,February-12-2018,Townhouse,16155 Loretta,LOS GATOS,CA,95032,931000,3,2.5,LOS GATOS,1318,549,1980,1396,706,412,Sold,,,https://www.redfin.com/CA/Los-Gatos/16155-Loretta-Ln-95032/home/1152162,MLSListings,ML81688532,N,Y,37.257051,-121.950749
