SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-7-2018,Single Family Residential,5288 Elmwood Dr,SAN JOSE,CA,95130,2200000,5,3.0,SAN JOSE,2719,7491,1996,1373,809,,Sold,,,https://www.redfin.com/CA/San-Jose/5288-Elmwood-Dr-95130/home/1298897,MLSListings,ML81691345,N,Y,37.2871597,-121.9938961
PAST SALE,June-8-2020,Single Family Residential,5021 Mccoy Ave,SAN JOSE,CA,95130,1525000,3,2.0,SAN JOSE,1578,6008,1959,549,966,,Sold,,,https://www.redfin.com/CA/San-Jose/5021-McCoy-Ave-95130/home/1456763,MLSListings,ML81789811,N,Y,37.2765004,-121.9884766
PAST SALE,September-3-2021,Single Family Residential,1310 Vernal Dr,SAN JOSE,CA,95130,1380000,2,2.0,SAN JOSE,988,6435,1958,97,1397,,Sold,,,https://www.redfin.com/CA/San-Jose/1310-Vernal-Dr-95130/home/1191150,MLSListings,ML81854333,N,Y,37.3000407,-121.9733274
PAST SALE,,Single Family Residential,1493 Hartley Ct,San Jose,CA,95130,1720000,3,3.0,,2302,10386,1959,,747,,,,,https://www.redfin.com/CA/San-Jose/1493-Hartley-Ct-95130/home/1662422,,,N,Y,37.2963625,-121.9697508
PAST SALE,October-31-2018,Single Family Residential,1968 Serge Ave,SAN JOSE,CA,95130,1433000,3,2.0,SAN JOSE,1330,6200,1958,1135,1077,,Sold,,,https://www.redfin.com/CA/San-Jose/1968-Serge-Ave-95130/home/1805802,MLSListings,ML81725739,N,Y,37.2862137,-121.9929188
PAST SALE,June-25-2019,Single Family Residential,1371 Poe Ln,SAN JOSE,CA,95130,1380000,4,2.0,SAN JOSE,1502,6405,1959,898,919,,Sold,,,https://www.redfin.com/CA/San-Jose/1371-Poe-Ln-95130/home/758304,MLSListings,ML81750371,N,Y,37.2988431,-121.9697508
PAST SALE,July-24-2019,Single Family Residential,1348 San Tomas Aquino Rd,SAN JOSE,CA,95130,1260000,3,2.0,SAN JOSE,1766,10466,1949,869,713,,Sold,,,https://www.redfin.com/CA/San-Jose/1348-San-Tomas-Aquino-Rd-95130/home/757079,MLSListings,ML81755589,N,Y,37.2997571,-121.9763929
MLS Listing,,Single Family Residential,1518 Pyramid Ct,SAN JOSE,CA,95130,2188000,5,3.0,SAN JOSE,2658,8763,1967,1,823,,Active,December-11-2021 12:00 PM,December-11-2021 02:00 PM,https://www.redfin.com/CA/San-Jose/1518-Pyramid-Ct-95130/home/1847172,MLSListings,ML81872090,N,Y,37.2963021,-121.9729497
MLS Listing,,Single Family Residential,5004 Kingston Way,SAN JOSE,CA,95130,1698000,3,2.0,SAN JOSE,1127,6600,1960,7,1507,,Active,,,https://www.redfin.com/CA/San-Jose/5004-Kingston-Way-95130/home/1427210,MLSListings,ML81871623,N,Y,37.2730871,-121.9880768
MLS Listing,,Townhouse,5104 Westmont Ave #4,SAN JOSE,CA,95130,830000,2,2.5,SAN JOSE,1105,418,1969,70,751,447,Active,,,https://www.redfin.com/CA/San-Jose/5104-Westmont-Ave-95130/unit-4/home/665228,MLSListings,ML81864905,N,Y,37.2716172,-121.9929739
