SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-21-2017,Single Family Residential,1589 Willowgate Dr,SAN JOSE,CA,95118,1030000,4,2.5,SAN JOSE,1426,6200,1959,1479,722,,Sold,,,https://www.redfin.com/CA/San-Jose/1589-Willowgate-Dr-95118/home/803114,MLSListings,ML81681124,N,Y,37.2639129,-121.9008396
PAST SALE,July-9-2020,Single Family Residential,1191 Montmorency Dr,SAN JOSE,CA,95118,1450000,4,3.0,SAN JOSE,2369,6492,1984,518,612,,Sold,,,https://www.redfin.com/CA/San-Jose/1191-Montmorency-Dr-95118/home/1741680,MLSListings,ML81795521,N,Y,37.2643989,-121.8812762
PAST SALE,February-26-2018,Single Family Residential,1229 Greenmoor Dr,SAN JOSE,CA,95118,1375000,4,3.0,SAN JOSE,1647,6300,1966,1382,835,,Sold,,,https://www.redfin.com/CA/San-Jose/1229-Greenmoor-Dr-95118/home/957019,MLSListings,ML81689198,N,Y,37.267245,-121.8813206
PAST SALE,October-17-2019,Townhouse,1319 Lyonsville Ln,SAN JOSE,CA,95118,835000,2,2.0,SAN JOSE,1102,2048,1973,784,758,422,Sold,,,https://www.redfin.com/CA/San-Jose/1319-Lyonsville-Ln-95118/home/875197,MLSListings,ML81765152,N,Y,37.2443389,-121.8866
PAST SALE,August-17-2021,Single Family Residential,5061 Sutcliff Ave,SAN JOSE,CA,95118,1550000,4,2.5,SAN JOSE,2030,6991,1968,114,764,,Sold,,,https://www.redfin.com/CA/San-Jose/5061-Sutcliff-Ave-95118/home/1079151,MLSListings,ML81852844,N,Y,37.2530411,-121.8916141
PAST SALE,November-13-2020,Single Family Residential,4839 Jarvis Ave,SAN JOSE,CA,95118,1050000,3,2.0,SAN JOSE,1188,7500,1962,391,884,,Sold,,,https://www.redfin.com/CA/San-Jose/4839-Jarvis-Ave-95118/home/1538743,MLSListings,ML81809914,N,Y,37.2561036,-121.8893687
PAST SALE,August-23-2021,Single Family Residential,5020 Corbin Ave,SAN JOSE,CA,95118,1120000,3,2.0,SAN JOSE,1113,6453,1964,108,1006,,Sold,,,https://www.redfin.com/CA/San-Jose/5020-Corbin-Ave-95118/home/1145183,MLSListings,ML81853424,N,Y,37.2560686,-121.8849668
PAST SALE,October-9-2020,Single Family Residential,1460 Lupine Ct,SAN JOSE,CA,95118,1310000,3,2.0,SAN JOSE,1551,8500,1961,426,845,,Sold,,,https://www.redfin.com/CA/San-Jose/1460-Lupine-Ct-95118/home/1686001,MLSListings,ML81810310,N,Y,37.2704036,-121.891992
PAST SALE,November-5-2019,Single Family Residential,5035 Lenelle Ct,SAN JOSE,CA,95118,1312500,4,3.0,SAN JOSE,1734,6650,1963,765,757,,Sold,,,https://www.redfin.com/CA/San-Jose/5035-Lenelle-Ct-95118/home/922375,MLSListings,ML81774690,N,Y,37.2484676,-121.9061745
PAST SALE,June-19-2017,Single Family Residential,1589 Sabina Way,SAN JOSE,CA,95118,952000,4,2.0,SAN JOSE,1158,6270,1961,1634,822,,Sold,,,https://www.redfin.com/CA/San-Jose/1589-Sabina-Way-95118/home/1544531,MLSListings,ML81651828,N,Y,37.2467968,-121.9013953
PAST SALE,October-18-2021,Single Family Residential,1358 Foxworthy Ave,SAN JOSE,CA,95118,1363000,3,2.0,SAN JOSE,1284,6242,1957,52,1062,,Sold,,,https://www.redfin.com/CA/San-Jose/1358-Foxworthy-Ave-95118/home/862742,MLSListings,ML81860802,N,Y,37.275594,-121.888372
PAST SALE,December-30-2020,Single Family Residential,1324 Ridgewood Dr,SAN JOSE,CA,95118,1350000,3,2.0,SAN JOSE,1700,6478,1973,344,794,,Sold,,,https://www.redfin.com/CA/San-Jose/1324-Ridgewood-Dr-95118/home/921104,MLSListings,ML81820715,N,Y,37.2481782,-121.8864341
PAST SALE,June-9-2017,Single Family Residential,1516 Hallcrest Dr,SAN JOSE,CA,95118,1151000,3,2.5,SAN JOSE,1700,6000,1962,1644,677,,Sold,,,https://www.redfin.com/CA/San-Jose/1516-Hallcrest-Dr-95118/home/1794753,MLSListings,ML81651612,N,Y,37.2629063,-121.8954155
PAST SALE,October-14-2021,Single Family Residential,4167 Casa Grande Ct,SAN JOSE,CA,95118,1645000,4,3.0,SAN JOSE,1875,7361,1966,56,877,,Sold,,,https://www.redfin.com/CA/San-Jose/4167-Casa-Grande-Ct-95118/home/857858,MLSListings,ML81859921,N,Y,37.2637966,-121.8855448
PAST SALE,November-5-2021,Single Family Residential,1524 Hallbrook Dr,SAN JOSE,CA,95118,1575000,3,2.0,SAN JOSE,1293,6000,1961,34,1218,,Sold,,,https://www.redfin.com/CA/San-Jose/1524-Hallbrook-Dr-95118/home/636565,MLSListings,ML81863065,N,Y,37.2615312,-121.895171
PAST SALE,July-31-2018,Single Family Residential,5342 Dent Ave,SAN JOSE,CA,95118,1275000,3,2.0,SAN JOSE,1300,6000,1959,1227,981,,Sold,,,https://www.redfin.com/CA/San-Jose/5342-Dent-Ave-95118/home/638190,MLSListings,ML81713742,N,Y,37.2457028,-121.8951932
PAST SALE,September-2-2020,Single Family Residential,3720 Cherry Ave,San Jose,CA,95118,1250000,3,2.0,Cambrian,1228,6372,1961,463,1018,,Sold,,,https://www.redfin.com/CA/San-Jose/3720-Cherry-Ave-95118/home/1037848,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40913282,N,Y,37.2677828,-121.8870566
PAST SALE,September-29-2021,Single Family Residential,5233 Dent Ave,SAN JOSE,CA,95118,1475000,4,2.0,SAN JOSE,1592,5979,1960,71,927,,Sold,,,https://www.redfin.com/CA/San-Jose/5233-Dent-Ave-95118/home/922653,MLSListings,ML81860666,N,Y,37.2482664,-121.8977497
MLS Listing,,Single Family Residential,1464 Revere Ave,SAN JOSE,CA,95118,1599000,3,2.0,SAN JOSE,1603,5166,1956,2,998,,Active,December-11-2021 01:00 PM,December-11-2021 04:00 PM,https://www.redfin.com/CA/San-Jose/1464-Revere-Ave-95118/home/1505595,MLSListings,ML81871230,N,Y,37.2728503,-121.8933036
MLS Listing,,Single Family Residential,5066 Carter Ave,SAN JOSE,CA,95118,1150000,4,2.0,SAN JOSE,1554,7074,1962,6,740,,Active,,,https://www.redfin.com/CA/San-Jose/5066-Carter-Ave-95118/home/1039378,MLSListings,ML81871761,N,Y,37.2479651,-121.9062189
MLS Listing,,Single Family Residential,1531 Hallcrest Dr,SAN JOSE,CA,95118,1839000,5,3.0,SAN JOSE,2462,6600,1962,7,747,,Active,,,https://www.redfin.com/CA/San-Jose/1531-Hallcrest-Dr-95118/home/1779272,MLSListings,ML81871536,N,Y,37.262517,-121.8961491
MLS Listing,,Single Family Residential,1574 Willowmont Ave,SAN JOSE,CA,95118,1488888,4,3.5,SAN JOSE,1966,5918,1958,9,757,,Active,December-9-2021 02:30 PM,December-9-2021 05:30 PM,https://www.redfin.com/CA/San-Jose/1574-Willowmont-Ave-95118/home/1596658,MLSListings,ML81871296,Y,Y,37.2658811,-121.9001727
MLS Listing,,Townhouse,1579 Delante Ter,SAN JOSE,CA,95118,789000,2,2.5,SAN JOSE,1013,677,2006,78,779,321,Active,,,https://www.redfin.com/CA/San-Jose/1579-Delante-Ter-95118/home/12178515,MLSListings,ML81863785,N,Y,37.2527095,-121.9010952
PAST SALE,October-2-2019,Townhouse,4716 Capay Dr #2,SAN JOSE,CA,95118,504000,2,1.0,SAN JOSE,903,3261,1970,799,558,359,Sold,,,https://www.redfin.com/CA/San-Jose/4716-Capay-Dr-95118/unit-2/home/1182286,MLSListings,ML81763863,N,Y,37.2589284,-121.8877903
PAST SALE,December-26-2016,Single Family Residential,1560 Blossom Hill Rd,SAN JOSE,CA,95118,882000,4,2.0,SAN JOSE,1486,6099,1963,1809,594,,Sold,,,https://www.redfin.com/CA/San-Jose/1560-Blossom-Hill-Rd-95118/home/1387724,MLSListings,ML81631675,N,Y,37.2373154,-121.8991946
PAST SALE,November-2-2021,Single Family Residential,1445 Branham Ln,SAN JOSE,CA,95118,1600000,3,2.0,SAN JOSE,2780,13660,1968,37,576,,Sold,,,https://www.redfin.com/CA/San-Jose/1445-Branham-Ln-95118/home/928424,MLSListings,ML81854062,N,Y,37.2587774,-121.8920587
PAST SALE,August-19-2019,Single Family Residential,4096 Casa Grande Way,SAN JOSE,CA,95118,1220000,4,2.0,SAN JOSE,1750,6125,1966,843,697,,Sold,,,https://www.redfin.com/CA/San-Jose/4096-Casa-Grande-Way-95118/home/1245780,MLSListings,ML81752985,N,Y,37.2651244,-121.8856338
PAST SALE,September-22-2017,Single Family Residential,1557 Park Crest Ct,SAN JOSE,CA,95118,1202000,4,3.0,SAN JOSE,1486,5985,1963,1539,809,,Sold,,,https://www.redfin.com/CA/San-Jose/1557-Park-Crest-Ct-95118/home/918284,MLSListings,ML81674704,N,Y,37.2364628,-121.898461
PAST SALE,February-25-2021,Single Family Residential,1561 Park Crest Ct,SAN JOSE,CA,95118,1450000,4,2.0,SAN JOSE,1700,6067,1963,287,853,,Sold,,,https://www.redfin.com/CA/San-Jose/1561-Park-Crest-Ct-95118/home/1794026,MLSListings,ML81826785,N,Y,37.2364095,-121.8986389
PAST SALE,April-17-2020,Single Family Residential,5665 Park Crest Dr,SAN JOSE,CA,95118,1345000,4,2.0,SAN JOSE,1536,6099,1963,601,876,,Sold,,,https://www.redfin.com/CA/San-Jose/5665-Park-Crest-Dr-95118/home/1052161,MLSListings,ML81785696,N,Y,37.235836,-121.8977274
