SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-26-2019,Townhouse,1331 Charmwood Sq,SAN JOSE,CA,95117,988000,2,2.0,SAN JOSE,1152,1440,1972,897,858,260,Sold,,,https://www.redfin.com/CA/San-Jose/1331-Charmwood-Sq-95117/home/752947,MLSListings,ML81754422,N,Y,37.300915,-121.960148
PAST SALE,April-20-2018,Townhouse,535 Boxleaf Ct,SAN JOSE,CA,95117,1091000,2,2.5,SAN JOSE,1117,3823,1985,1329,977,337,Sold,,,https://www.redfin.com/CA/San-Jose/535-Box-Leaf-Ct-95117/home/1515472,MLSListings,ML81696890,N,Y,37.320737,-121.961721
PAST SALE,October-22-2021,Single Family Residential,3704 Rhoda Dr,SAN JOSE,CA,95117,1555000,3,2.0,SAN JOSE,1557,7024,1973,48,999,,Sold,,,https://www.redfin.com/CA/San-Jose/3704-Rhoda-Dr-95117/home/1499336,MLSListings,ML81859644,N,Y,37.3046212,-121.9662851
PAST SALE,April-27-2018,Single Family Residential,3306 Yuba Ave,SAN JOSE,CA,95117,1650000,4,2.0,SAN JOSE,2257,6900,1968,1322,731,,Sold,,,https://www.redfin.com/CA/San-Jose/3306-Yuba-Ave-95117/home/1357758,MLSListings,ML81697073,N,Y,37.3033575,-121.9555543
PAST SALE,March-18-2020,Single Family Residential,1089 Phelps Ave,SAN JOSE,CA,95117,1635000,4,3.0,SAN JOSE,2199,6163,1962,631,744,,Sold,,,https://www.redfin.com/CA/San-Jose/1089-Phelps-Ave-95117/home/1149623,MLSListings,ML81782870,N,Y,37.3068577,-121.9612864
MLS Listing,,Townhouse,1380 Cherrywood Sq,SAN JOSE,CA,95117,888000,2,2.5,SAN JOSE,1368,1420,1972,1,649,300,Active,,,https://www.redfin.com/CA/San-Jose/1380-Cherrywood-Sq-95117/home/1191012,MLSListings,ML81872162,N,Y,37.299787,-121.959197
MLS Listing,,Townhouse,3881 Blackford Ave,SAN JOSE,CA,95117,999888,3,2.5,SAN JOSE,1320,1612,1994,1,757,456,Active,December-11-2021 01:30 PM,December-11-2021 04:30 PM,https://www.redfin.com/CA/San-Jose/3881-Blackford-Ave-95117/home/1502985,MLSListings,ML81872041,N,Y,37.314635,-121.970073
MLS Listing,,Single Family Residential,480 Fenley Ave,SAN JOSE,CA,95117,1798000,3,2.0,SAN JOSE,2123,8593,1938,8,847,,Active,,,https://www.redfin.com/CA/San-Jose/480-Fenley-Ave-95117/home/1442581,MLSListings,ML81871508,N,Y,37.3191073,-121.9560431
PAST SALE,November-22-2021,Townhouse,1464 Golden Meadow Sq,SAN JOSE,CA,95117,865000,2,1.0,SAN JOSE,968,1437,1972,17,894,300,Sold,,,https://www.redfin.com/CA/San-Jose/1464-Golden-Meadow-Sq-95117/home/1382649,MLSListings,ML81866812,N,Y,37.29808,-121.960561
PAST SALE,December-9-2019,Single Family Residential,745 Cypress Ave,SAN JOSE,CA,95117,1057000,3,2.0,SAN JOSE,1237,5942,1955,731,854,,Sold,,,https://www.redfin.com/CA/San-Jose/745-Cypress-Ave-95117/home/1799983,MLSListings,ML81765699,N,Y,37.3134836,-121.9599978
PAST SALE,October-24-2019,Single Family Residential,1468 Essex Way,SAN JOSE,CA,95117,1329000,4,2.0,SAN JOSE,1503,7280,1963,777,884,,Sold,,,https://www.redfin.com/CA/San-Jose/1468-Essex-Way-95117/home/783710,MLSListings,ML81767877,N,Y,37.297542,-121.9563319
