SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-8-2019,Single Family Residential,1831 Calistoga Dr,SAN JOSE,CA,95124,1080000,3,2.0,SAN JOSE,1226,5600,1959,1007,881,,Sold,,,https://www.redfin.com/CA/San-Jose/1831-Calistoga-Dr-95124/home/1606980,MLSListings,ML81735634,N,Y,37.2737103,-121.9193327
PAST SALE,April-15-2020,Single Family Residential,1940 Dry Creek Rd,SAN JOSE,CA,95124,2470000,3,3.0,SAN JOSE,3030,20980,1964,603,815,,Sold,,,https://www.redfin.com/CA/San-Jose/1940-Dry-Creek-Rd-95124/home/1710841,MLSListings,ML81789539,N,Y,37.2801939,-121.9294893
PAST SALE,October-14-2021,Single Family Residential,5262 Camden Ave,SAN JOSE,CA,95124,1410000,3,2.0,SAN JOSE,1372,10086,1976,56,1028,,Sold,,,https://www.redfin.com/CA/San-Jose/5262-Camden-Ave-95124/home/1231455,MLSListings,ML81863748,N,Y,37.2426544,-121.9051075
PAST SALE,September-10-2021,Single Family Residential,1885 Crestmont Dr,SAN JOSE,CA,95124,1900000,4,2.5,SAN JOSE,2042,6332,1967,90,930,60,Sold,,,https://www.redfin.com/CA/San-Jose/1885-Crestmont-Dr-95124/home/1185403,MLSListings,ML81854886,N,Y,37.2802989,-121.9216886
PAST SALE,September-18-2018,Single Family Residential,14661 Charmeran Ave,SAN JOSE,CA,95124,1505000,3,2.0,SAN JOSE,1615,16762,1954,1178,932,,Sold,,,https://www.redfin.com/CA/San-Jose/14661-Charmeran-Ave-95124/home/612289,MLSListings,ML81718882,N,Y,37.2577324,-121.9251334
PAST SALE,January-3-2020,Single Family Residential,1707 Almond Blossom Ln,SAN JOSE,CA,95124,1498000,4,2.0,SAN JOSE,1346,6631,1959,706,1113,,Sold,,,https://www.redfin.com/CA/San-Jose/1707-Almond-Blossom-Ln-95124/home/1692232,MLSListings,ML81776311,N,Y,37.233705,-121.9096642
PAST SALE,April-16-2021,Single Family Residential,3508 Calvin Ave,SAN JOSE,CA,95124,1530000,4,2.0,SAN JOSE,1936,6430,1959,237,790,,Sold,,,https://www.redfin.com/CA/San-Jose/3508-Calvin-Ave-95124/home/1517414,MLSListings,ML81832315,N,Y,37.2623561,-121.9397338
PAST SALE,,Single Family Residential,15447 Stratford Dr,San Jose,CA,95124,1800000,3,2.0,,1631,12598,1948,,1104,,,,,https://www.redfin.com/CA/San-Jose/15447-Stratford-Dr-95124/home/612392,,,N,Y,37.2593496,-121.9396005
PAST SALE,April-30-2021,Single Family Residential,1666 Kirk Ct,SAN JOSE,CA,95124,1950000,3,2.5,SAN JOSE,2260,7620,1990,223,863,,Sold,,,https://www.redfin.com/CA/San-Jose/1666-Kirk-Ct-95124/home/1058204,MLSListings,ML81834755,N,Y,37.2575906,-121.9058633
PAST SALE,March-18-2021,Single Family Residential,1623 York St,SAN JOSE,CA,95124,1300000,3,2.0,SAN JOSE,1470,5529,1962,266,884,,Sold,,,https://www.redfin.com/CA/San-Jose/1623-York-St-95124/home/1702432,MLSListings,ML81825982,N,Y,37.2672135,-121.9048852
PAST SALE,November-13-2017,Single Family Residential,2262 Mount Davidson Dr,SAN JOSE,CA,95124,1150000,3,2.5,SAN JOSE,1650,3000,1979,1487,697,,Sold,,,https://www.redfin.com/CA/San-Jose/2262-Mt-Davidson-Dr-95124/home/1582493,MLSListings,ML81680041,N,Y,37.2623158,-121.9412449
PAST SALE,July-26-2019,Single Family Residential,4093 Cranford Cir,SAN JOSE,CA,95124,1278888,4,2.0,SAN JOSE,1868,6119,1977,867,685,,Sold,,,https://www.redfin.com/CA/San-Jose/4093-Cranford-Cir-95124/home/1444864,MLSListings,ML81752496,N,Y,37.2544315,-121.9459556
PAST SALE,September-20-2021,Townhouse,6054 Calle De Rico,SAN JOSE,CA,95124,940000,2,2.5,SAN JOSE,1360,8660,1975,80,691,435,Sold,,,https://www.redfin.com/CA/San-Jose/6054-Calle-De-Rico-95124/home/920123,MLSListings,ML81856101,N,Y,37.227768,-121.9046462
PAST SALE,February-5-2021,Single Family Residential,1684 Merrill Dr,SAN JOSE,CA,95124,1630000,4,2.0,SAN JOSE,1396,7768,1960,307,1168,,Sold,,,https://www.redfin.com/CA/San-Jose/1684-Merrill-Dr-95124/home/717306,MLSListings,ML81827811,N,Y,37.2399079,-121.9093086
PAST SALE,July-21-2020,Single Family Residential,14480 Esther Dr,SAN JOSE,CA,95124,1250000,3,1.0,SAN JOSE,1107,8280,1948,506,1129,,Sold,,,https://www.redfin.com/CA/San-Jose/14480-Esther-Dr-95124/home/1194076,MLSListings,ML81792907,N,Y,37.2582191,-121.9356006
PAST SALE,December-17-2020,Single Family Residential,1708 Grizilo Dr,SAN JOSE,CA,95124,1699888,4,2.0,SAN JOSE,2010,7390,1963,357,846,,Sold,,,https://www.redfin.com/CA/San-Jose/1708-Grizilo-Dr-95124/home/851947,MLSListings,ML81816905,N,Y,37.2708874,-121.9104422
PAST SALE,August-24-2017,Single Family Residential,2056 Cirone Way,SAN JOSE,CA,95124,1250000,3,2.5,SAN JOSE,1731,7370,1959,1568,722,,Sold,,,https://www.redfin.com/CA/San-Jose/2056-Cirone-Way-95124/home/830944,MLSListings,ML81669405,N,Y,37.2683609,-121.9335783
PAST SALE,July-27-2018,Single Family Residential,14784 Charmeran Ave,SAN JOSE,CA,95124,1975000,4,3.0,SAN JOSE,2643,9260,1950,1231,747,,Sold,,,https://www.redfin.com/CA/San-Jose/14784-Charmeran-Ave-95124/home/1457394,MLSListings,ML81710538,N,Y,37.2568358,-121.9275558
PAST SALE,October-2-2019,Single Family Residential,3085 Yucca Ave,SAN JOSE,CA,95124,880000,4,2.0,SAN JOSE,1248,5001,1953,799,705,,Sold,,,https://www.redfin.com/CA/San-Jose/3085-Yucca-Ave-95124/home/570864,MLSListings,ML81755279,N,Y,37.2691567,-121.907686
