SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-30-2021,Single Family Residential,4312 Strawberry Park Dr,SAN JOSE,CA,95129,2110000,4,3.0,SAN JOSE,1710,6165,1955,223,1234,,Sold,,,https://www.redfin.com/CA/San-Jose/4312-Strawberry-Park-Dr-95129/home/1838654,MLSListings,ML81837286,N,Y,37.3108029,-121.9791474
PAST SALE,July-10-2018,Single Family Residential,916 Forest Ridge Dr,SAN JOSE,CA,95129,2380000,5,3.0,SAN JOSE,2239,6000,1967,1248,1063,,Sold,,,https://www.redfin.com/CA/San-Jose/916-Forest-Ridge-Dr-95129/home/1227933,MLSListings,ML81709982,N,Y,37.3110378,-121.9943403
PAST SALE,June-1-2021,Single Family Residential,5121 Forest Glen Dr,SAN JOSE,CA,95129,2320000,4,2.0,SAN JOSE,1653,6017,1964,191,1404,,Sold,,,https://www.redfin.com/CA/San-Jose/5121-Forest-Glen-Dr-95129/home/792706,MLSListings,ML81841137,N,Y,37.3125249,-121.9932076
PAST SALE,August-13-2020,Townhouse,5138 Graves Ave,SAN JOSE,CA,95129,1165888,2,2.5,SAN JOSE,1350,834,2005,483,864,355,Sold,,,https://www.redfin.com/CA/San-Jose/5138-Graves-Ave-95129/home/2124120,MLSListings,ML81787236,N,Y,37.2942282,-121.9917639
PAST SALE,December-18-2020,Townhouse,5108 Graves Ave,SAN JOSE,CA,95129,1360000,3,2.5,SAN JOSE,1604,960,2006,356,848,355,Sold,,,https://www.redfin.com/CA/San-Jose/5108-Graves-Ave-95129/home/2124130,MLSListings,ML81819734,N,Y,37.2941498,-121.9912753
PAST SALE,April-2-2019,Single Family Residential,6472 Rainbow Dr,SAN JOSE,CA,95129,1915000,3,2.0,SAN JOSE,1300,6000,1960,982,1473,,Sold,,,https://www.redfin.com/CA/San-Jose/6472-Rainbow-Dr-95129/home/700756,MLSListings,ML81739952,N,Y,37.3009018,-122.0178807
PAST SALE,,Single Family Residential,5525 Ora St,San Jose,CA,95129,2150000,5,3.0,,2112,7028,1964,,1018,,,,,https://www.redfin.com/CA/San-Jose/5525-Ora-St-95129/home/692960,,,N,Y,37.3056164,-122.0001148
PAST SALE,,Single Family Residential,6606 Devonshire Dr,San Jose,CA,95129,2650000,4,3.0,,1951,6238,1958,,1358,,,,,https://www.redfin.com/CA/San-Jose/6606-Devonshire-Dr-95129/home/1500441,,,N,Y,37.3025025,-122.0199236
PAST SALE,August-18-2021,Townhouse,486 Hollyberry Ct,SAN JOSE,CA,95129,950000,2,2.0,SAN JOSE,1230,1271,1973,113,772,380,Sold,,,https://www.redfin.com/CA/San-Jose/486-Hollyberry-Ct-95129/home/1755403,MLSListings,ML81848637,N,Y,37.317625,-121.9859107
MLS Listing,,Single Family Residential,4640 Clarendon Dr,SAN JOSE,CA,95129,1698000,3,2.0,SAN JOSE,1365,6209,1957,1,1244,,Active,December-11-2021 01:00 PM,December-11-2021 04:00 PM,https://www.redfin.com/CA/San-Jose/4640-Clarendon-Dr-95129/home/1294324,MLSListings,ML81872044,N,Y,37.3002548,-121.9844785
MLS Listing,,Single Family Residential,743 Camina Escuela,SAN JOSE,CA,95129,1680000,3,2.0,SAN JOSE,1226,6329,1955,2,1370,,Active,December-10-2021 03:00 PM,December-10-2021 05:00 PM,https://www.redfin.com/CA/San-Jose/743-Camina-Escuela-95129/home/1700996,MLSListings,ML81871424,N,Y,37.3135624,-121.9848339
MLS Listing,,Single Family Residential,4622 Corona Dr,SAN JOSE,CA,95129,1898000,4,3.0,SAN JOSE,1736,6418,1963,2,1093,,Active,December-11-2021 01:30 PM,December-11-2021 04:30 PM,https://www.redfin.com/CA/San-Jose/4622-Corona-Dr-95129/home/1451544,MLSListings,ML81871775,N,Y,37.3036858,-121.9838788
MLS Listing,,Single Family Residential,1050 W Riverside Way,SAN JOSE,CA,95129,2499888,4,3.0,SAN JOSE,1970,8980,1956,6,1269,,Active,,,https://www.redfin.com/CA/San-Jose/1050-W-Riverside-Way-95129/home/1581468,MLSListings,ML81871648,N,Y,37.3080382,-122.021811
MLS Listing,,Townhouse,6137 Elmbridge Dr,SAN JOSE,CA,95129,1488000,3,2.5,SAN JOSE,1214,1583,1971,9,1226,357,Active,,,https://www.redfin.com/CA/San-Jose/6137-Elmbridge-Dr-95129/home/1659388,MLSListings,ML81871269,N,Y,37.30982,-122.010731
PAST SALE,June-17-2019,Single Family Residential,726 Oakgrove Dr,SAN JOSE,CA,95129,1355000,3,2.0,SAN JOSE,1100,6000,1955,906,1232,,Sold,,,https://www.redfin.com/CA/San-Jose/726-Oakgrove-Dr-95129/home/1359447,MLSListings,ML81752379,N,Y,37.3139356,-121.9823461
PAST SALE,September-30-2021,Single Family Residential,4427 Moran Dr,SAN JOSE,CA,95129,1820000,3,2.0,SAN JOSE,1300,6208,1958,70,1400,,Sold,,,https://www.redfin.com/CA/San-Jose/4427-Moran-Dr-95129/home/1550497,MLSListings,ML81859216,N,Y,37.3068116,-121.9802359
PAST SALE,June-8-2020,Single Family Residential,817 Rockwood Dr,SAN JOSE,CA,95129,1568000,4,2.0,SAN JOSE,1319,6002,1955,549,1189,,Sold,,,https://www.redfin.com/CA/San-Jose/817-Rockwood-Dr-95129/home/1531876,MLSListings,ML81790763,N,Y,37.3127116,-121.9821684
PAST SALE,,Single Family Residential,4438 Manzanita Dr,San Jose,CA,95129,1338000,3,2.0,,1136,6125,1955,,1178,,,,,https://www.redfin.com/CA/San-Jose/4438-Manzanita-Dr-95129/home/1516663,,,N,Y,37.3117812,-121.9803914
PAST SALE,,Single Family Residential,4820 La Fiesta Pl,San Jose,CA,95129,1200000,3,3.0,,1496,2751,1981,,802,,,,,https://www.redfin.com/CA/San-Jose/4820-La-Fiesta-Pl-95129/home/1430177,,,N,Y,37.3195271,-121.9870374
PAST SALE,September-25-2020,Single Family Residential,5558 Castle Glen Ave,SAN JOSE,CA,95129,2725000,4,3.0,SAN JOSE,2749,6257,1967,440,991,,Sold,,,https://www.redfin.com/CA/San-Jose/5558-Castle-Glen-Ave-95129/home/1431634,MLSListings,ML81805860,N,Y,37.3025664,-122.0017583
PAST SALE,March-12-2020,Single Family Residential,1251 Regency Pl,SAN JOSE,CA,95129,2700000,4,3.0,SAN JOSE,2388,8816,1967,637,1131,,Sold,,,https://www.redfin.com/CA/San-Jose/1251-Regency-Pl-95129/home/901081,MLSListings,ML81782172,N,Y,37.3014859,-121.9999816
PAST SALE,December-17-2020,Townhouse,1183 Water Lily Way,SAN JOSE,CA,95129,1619000,3,3.0,SAN JOSE,1733,1221,2010,357,934,155,Sold,,,https://www.redfin.com/CA/San-Jose/1183-Water-Lily-Way-95129/home/17288544,MLSListings,ML81820221,N,Y,37.3036598,-122.03444
PAST SALE,March-3-2017,Townhouse,1195 Water Lily Way,SAN JOSE,CA,95129,1600000,4,3.0,SAN JOSE,2010,2682,2010,1742,796,145,Sold,,,https://www.redfin.com/CA/San-Jose/1195-Water-Lily-Way-95129/home/17288541,MLSListings,ML81636613,N,Y,37.3036807,-122.0339563
PAST SALE,May-17-2019,Townhouse,1252 Water Lily Way,SAN JOSE,CA,95129,1625000,4,3.0,SAN JOSE,1912,2682,2010,937,850,145,Sold,,,https://www.redfin.com/CA/San-Jose/1252-Water-Lily-Way-95129/home/17288526,MLSListings,ML81736991,N,Y,37.3034004,-122.033605
PAST SALE,December-7-2021,Single Family Residential,1069 Leo Dr,SAN JOSE,CA,95129,1998925,3,2.0,SAN JOSE,1204,6553,1959,2,1660,,Sold,,,https://www.redfin.com/CA/San-Jose/1069-Leo-Dr-95129/home/1183941,MLSListings,ML81868206,N,Y,37.3072817,-121.9818574
PAST SALE,December-1-2021,Single Family Residential,1281 Cordelia Ave,SAN JOSE,CA,95129,2420000,4,2.5,SAN JOSE,2169,9423,1958,8,1116,,Sold,,,https://www.redfin.com/CA/San-Jose/1281-Cordelia-Ave-95129/home/802547,MLSListings,ML81867504,N,Y,37.3021577,-121.9950066
PAST SALE,May-3-2018,Single Family Residential,1560 Bonnie Joy Ave,SAN JOSE,CA,95129,2200000,3,2.0,SAN JOSE,1732,5976,1960,1316,1270,,Sold,,,https://www.redfin.com/CA/San-Jose/1560-Bonnie-Joy-Ave-95129/home/1265623,MLSListings,ML81698917,N,Y,37.2959164,-122.019213
PAST SALE,August-25-2020,Single Family Residential,1271 Glenmoor Way,SAN JOSE,CA,95129,2580000,4,2.0,SAN JOSE,2689,7438,1957,471,959,,Sold,,,https://www.redfin.com/CA/San-Jose/1271-Glenmoor-Way-95129/home/1355918,MLSListings,ML81802058,N,Y,37.2999659,-122.0209228
PAST SALE,March-8-2021,Single Family Residential,1048 Avondale St,SAN JOSE,CA,95129,2170000,4,2.0,SAN JOSE,1830,6059,1950,276,1186,,Sold,,,https://www.redfin.com/CA/San-Jose/1048-Avondale-St-95129/home/791290,MLSListings,ML81826405,N,Y,37.3085425,-122.028672
PAST SALE,December-16-2019,Single Family Residential,5523 Bigoak Dr,SAN JOSE,CA,95129,1920000,3,2.5,SAN JOSE,1636,6081,1965,724,1174,,Sold,,,https://www.redfin.com/CA/San-Jose/5523-Bigoak-Dr-95129/home/1700970,MLSListings,ML81775045,N,Y,37.3064986,-121.9991821
PAST SALE,April-17-2020,Townhouse,1175 Water Lily Way,SAN JOSE,CA,95129,1600000,4,3.0,SAN JOSE,1726,1390,2010,601,927,155,Sold,,,https://www.redfin.com/CA/San-Jose/1175-Water-Lily-Way-95129/home/17287996,MLSListings,ML81786100,N,Y,37.3037026,-122.0347556
PAST SALE,June-5-2017,Single Family Residential,772 SPRINGWOOD DRIVE Dr,SAN JOSE,CA,95129,1668000,3,2.0,SAN JOSE,1456,6634,1963,1648,1146,,Sold,,,https://www.redfin.com/CA/San-Jose/772-Springwood-Dr-95129/home/1715003,MLSListings,ML81649579,N,Y,37.3133519,-121.9892763
PAST SALE,June-11-2021,Townhouse,1283 Water Lily Way,SAN JOSE,CA,95129,1630000,4,2.5,SAN JOSE,1842,1232,2009,181,885,155,Sold,,,https://www.redfin.com/CA/San-Jose/1283-Water-Lily-Way-95129/home/17290618,MLSListings,ML81837737,N,Y,37.3027439,-122.0332014
